,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
41429,Air_India,AI-676,Kolkata,Morning,one,Afternoon,Delhi,Economy,26.58,9,13524
40812,Vistara,UK-613,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.5,4,8883
20254,GO_FIRST,G8-383,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,10.25,19,5942
42983,AirAsia,I5-631,Mumbai,Morning,one,Night,Chennai,Economy,13.17,32,1890
45052,Indigo,6E-113,Bangalore,Morning,one,Afternoon,Mumbai,Economy,5.83,32,2201
16625,Indigo,6E-2062,Chennai,Evening,zero,Evening,Delhi,Economy,2.58,19,3632
11905,Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Economy,20.5,17,5892
32207,Vistara,UK-970,Mumbai,Morning,one,Evening,Hyderabad,Economy,11.17,30,4099
40467,Indigo,6E-413,Hyderabad,Early_Morning,one,Morning,Chennai,Economy,5.25,12,4453
25097,Vistara,UK-996,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.42,23,4414
33243,Vistara,UK-657,Bangalore,Morning,two_or_more,Night,Chennai,Economy,8.75,39,7731
36752,GO_FIRST,G8-423,Delhi,Early_Morning,one,Evening,Chennai,Economy,9.83,27,3475
58722,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Business,15.67,19,50271
9769,GO_FIRST,G8-7535,Delhi,Evening,one,Night,Kolkata,Economy,6.58,43,6395
384,Air_India,AI-867,Mumbai,Night,one,Morning,Bangalore,Economy,11.42,10,9201
3113,SpiceJet,SG-3839,Kolkata,Evening,one,Afternoon,Mumbai,Economy,19.25,38,7781
20564,Air_India,AI-838,Hyderabad,Afternoon,one,Morning,Chennai,Economy,19.92,4,13168
40571,AirAsia,I5-1561,Bangalore,Evening,zero,Night,Mumbai,Economy,1.75,10,5179
23772,AirAsia,I5-766,Hyderabad,Night,two_or_more,Early_Morning,Mumbai,Economy,9.67,22,2250
45384,Vistara,UK-814,Bangalore,Night,one,Evening,Chennai,Business,19.17,42,60396
1466,Vistara,UK-850,Bangalore,Evening,one,Morning,Chennai,Business,15.92,27,44280
25770,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Business,7.08,6,65872
24318,Air_India,AI-766,Chennai,Morning,zero,Afternoon,Kolkata,Business,2.58,33,20000
2210,GO_FIRST,G8-345,Mumbai,Night,one,Early_Morning,Kolkata,Economy,9.33,28,5817
57498,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Business,17.17,22,71551
5639,Air_India,AI-721,Kolkata,Afternoon,one,Evening,Delhi,Economy,26.58,31,6375
17927,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Night,Kolkata,Economy,17.33,7,12918
7547,AirAsia,I5-1321,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.67,40,2723
53200,AirAsia,I5-784,Delhi,Evening,one,Morning,Kolkata,Economy,16.92,27,4031
