,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
34641,SpiceJet,SG-2976,Delhi,Evening,one,Night,Kolkata,Economy,26.08,18,5214
43961,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.83,25,3940
41783,SpiceJet,SG-923,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.58,15,7412
18729,Vistara,UK-776,Kolkata,Evening,one,Night,Hyderabad,Business,27.33,35,49207
28799,Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Economy,15.75,17,6456
18002,Vistara,UK-820,Bangalore,Evening,one,Evening,Hyderabad,Business,26.08,10,56588
23352,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Bangalore,Business,35.08,20,67710
36062,Air_India,AI-9925,Bangalore,Evening,two_or_more,Morning,Chennai,Economy,16.5,5,24657
16958,GO_FIRST,G8-341,Mumbai,Night,zero,Night,Delhi,Economy,2.17,30,2339
25890,Vistara,UK-981,Delhi,Night,one,Evening,Kolkata,Economy,22.08,18,6840
34059,Air_India,AI-615,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.5,23,3633
32431,Air_India,AI-619,Mumbai,Night,one,Evening,Delhi,Economy,22.25,13,10143
20861,Indigo,6E-177,Delhi,Late_Night,one,Morning,Bangalore,Economy,6.58,48,4007
45377,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Chennai,Business,12.5,18,51595
52446,AirAsia,I5-721,Delhi,Night,one,Morning,Chennai,Economy,11.75,38,3918
7402,Indigo,6E-7071,Bangalore,Morning,one,Evening,Hyderabad,Economy,8.42,39,1694
10862,Vistara,UK-852,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.17,20,5896
48342,Air_India,AI-765,Kolkata,Evening,one,Evening,Mumbai,Economy,25.0,11,12054
41337,Indigo,6E-982,Hyderabad,Morning,one,Afternoon,Delhi,Economy,5.42,32,2276
39594,Indigo,6E-269,Chennai,Morning,one,Evening,Delhi,Economy,6.25,23,4121
3401,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Business,11.75,37,57017
27190,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Business,14.5,49,53743
51274,Vistara,UK-877,Mumbai,Morning,two_or_more,Night,Chennai,Economy,9.5,14,15014
30147,Air_India,AI-431,Delhi,Afternoon,one,Evening,Bangalore,Business,6.92,15,37594
424,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,9.75,21,56590
52758,Vistara,UK-850,Bangalore,Evening,one,Early_Morning,Hyderabad,Business,11.92,29,37985
20593,Vistara,UK-830,Hyderabad,Morning,one,Evening,Kolkata,Economy,9.25,12,10069
32926,Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,Economy,10.92,5,10783
54491,Indigo,6E-6233,Delhi,Late_Night,zero,Early_Morning,Bangalore,Economy,2.92,42,4500
46417,Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,41,5227
8692,Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,25.0,44,4173
27337,Vistara,UK-833,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.33,16,11432
58513,Vistara,UK-820,Bangalore,Evening,one,Afternoon,Hyderabad,Business,18.75,32,56588
