,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1851,Indigo,6E-6505,Hyderabad,Night,zero,Night,Bangalore,Economy,1.25,24,1776
5255,Vistara,UK-988,Mumbai,Night,one,Morning,Chennai,Business,13.0,6,61933
10239,AirAsia,I5-991,Kolkata,Evening,one,Morning,Delhi,Economy,16.67,35,3014
45762,Air_India,AI-539,Chennai,Evening,one,Evening,Kolkata,Business,26.17,49,55377
52719,Vistara,UK-846,Bangalore,Morning,one,Afternoon,Delhi,Economy,5.58,19,4111
9198,AirAsia,I5-713,Delhi,Evening,one,Night,Hyderabad,Economy,3.83,14,5956
34351,AirAsia,I5-722,Bangalore,Late_Night,zero,Late_Night,Delhi,Economy,2.92,21,4498
56754,Vistara,UK-880,Hyderabad,Afternoon,two_or_more,Night,Bangalore,Economy,9.42,39,5962
22349,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Chennai,Economy,17.08,19,4229
53655,SpiceJet,SG-3281,Kolkata,Afternoon,one,Night,Hyderabad,Economy,5.92,27,9113
25730,Vistara,UK-838,Chennai,Night,one,Night,Hyderabad,Business,25.83,37,51457
17272,Vistara,UK-834,Chennai,Evening,one,Evening,Kolkata,Economy,24.92,24,11803
57355,GO_FIRST,G8-7549,Delhi,Afternoon,one,Late_Night,Chennai,Economy,9.25,34,3869
4544,Vistara,UK-988,Mumbai,Night,one,Night,Chennai,Economy,23.33,26,4348
44556,Indigo,6E-6344,Kolkata,Afternoon,one,Night,Delhi,Economy,5.67,40,2994
5340,GO_FIRST,G8-395,Bangalore,Morning,one,Night,Chennai,Economy,14.17,37,4687
21093,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Hyderabad,Business,17.42,13,56476
5411,Indigo,6E-6917,Kolkata,Afternoon,one,Night,Bangalore,Economy,7.42,36,6702
21068,Indigo,6E-2053,Bangalore,Night,zero,Late_Night,Delhi,Economy,2.83,49,4500
51928,Indigo,6E-841,Bangalore,Afternoon,one,Evening,Hyderabad,Economy,4.67,22,3105
14553,AirAsia,I5-764,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.33,16,3090
36939,Air_India,AI-808,Bangalore,Night,one,Evening,Kolkata,Economy,20.58,29,9787
47915,Vistara,UK-902,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.33,47,2339
8150,Air_India,AI-867,Mumbai,Night,one,Evening,Hyderabad,Economy,21.83,24,4173
42894,Vistara,UK-981,Delhi,Night,one,Evening,Kolkata,Business,19.0,13,65529
9135,Vistara,UK-970,Mumbai,Morning,zero,Morning,Delhi,Economy,2.25,48,2339
50560,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,12.17,25,5656
26309,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,11.0,15,45805
51193,Vistara,UK-705,Delhi,Early_Morning,two_or_more,Evening,Chennai,Economy,12.42,43,10097
13022,Air_India,AI-635,Mumbai,Early_Morning,one,Morning,Delhi,Business,3.67,15,22140
49899,GO_FIRST,G8-501,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,5.75,14,4452
29698,Indigo,6E-514,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,4.0,31,1755
46388,Vistara,UK-830,Hyderabad,Morning,one,Night,Bangalore,Business,10.08,15,56702
35710,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Night,Mumbai,Economy,15.0,44,7404
46098,Air_India,AI-867,Mumbai,Night,one,Evening,Bangalore,Business,18.75,36,54608
25645,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Economy,22.25,36,5760
8162,Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,Business,13.33,12,45883
21719,Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,10.0,14,17043
