,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
53338,Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Economy,12.0,8,19201
50971,GO_FIRST,G8-7559,Bangalore,Afternoon,one,Late_Night,Hyderabad,Economy,9.58,32,5639
34533,Vistara,UK-774,Kolkata,Night,one,Morning,Bangalore,Business,12.25,40,52287
9244,Air_India,AI-635,Mumbai,Early_Morning,one,Early_Morning,Chennai,Economy,24.92,46,5800
40841,Air_India,AI-440,Chennai,Early_Morning,one,Evening,Mumbai,Economy,11.83,39,4672
1358,Vistara,UK-829,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,12.83,48,9349
42937,Vistara,UK-659,Hyderabad,Morning,one,Morning,Mumbai,Economy,24.5,35,6593
3546,Vistara,UK-822,Chennai,Morning,one,Afternoon,Delhi,Economy,4.75,45,5206
3909,Indigo,6E-6214,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,3.0,3,7959
40801,Vistara,UK-988,Mumbai,Night,one,Evening,Chennai,Business,19.42,2,98972
10923,GO_FIRST,G8-171,Delhi,Evening,one,Late_Night,Chennai,Economy,6.42,20,4506
16217,Indigo,6E-5308,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.75,33,2835
237,AirAsia,I5-747,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,26,4499
37713,Air_India,AI-439,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.83,33,2343
46646,Air_India,AI-9876,Bangalore,Afternoon,one,Early_Morning,Chennai,Economy,16.08,30,5536
46138,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,12.08,22,77196
2287,Air_India,AI-503,Bangalore,Evening,one,Afternoon,Mumbai,Business,19.0,7,62625
56965,Indigo,6E-893,Kolkata,Morning,one,Night,Chennai,Economy,11.0,15,7954
43421,Vistara,UK-988,Mumbai,Night,one,Morning,Hyderabad,Economy,12.75,9,9879
53423,Vistara,UK-940,Mumbai,Evening,one,Morning,Hyderabad,Business,13.92,13,68317
30165,Vistara,UK-812,Delhi,Afternoon,two_or_more,Morning,Chennai,Economy,22.5,45,7610
58831,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Business,20.0,25,39499
32666,AirAsia,I5-1229,Chennai,Night,zero,Late_Night,Bangalore,Economy,1.25,47,1443
675,AirAsia,I5-819,Bangalore,Morning,one,Evening,Delhi,Economy,7.0,33,2723
56044,Air_India,AI-615,Mumbai,Early_Morning,zero,Early_Morning,Hyderabad,Business,1.5,49,17548
53272,Vistara,UK-816,Bangalore,Morning,one,Evening,Kolkata,Business,8.08,33,62188
47504,Air_India,AI-616,Hyderabad,Morning,one,Morning,Chennai,Economy,26.5,40,3813
15398,GO_FIRST,G8-320,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,11.5,18,6186
54224,AirAsia,I5-557,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.42,36,2359
7601,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,Business,17.83,4,52175
