,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
37282,Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,13.92,40,6450
27313,Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Evening,Chennai,Economy,12.5,6,13588
40319,Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,38,24056
414,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Economy,11.67,40,5949
44125,Indigo,6E-905,Hyderabad,Afternoon,one,Evening,Mumbai,Economy,5.0,9,16161
10368,Vistara,UK-812,Bangalore,Morning,one,Night,Kolkata,Economy,13.0,17,8322
11146,Air_India,AI-747,Kolkata,Night,one,Night,Hyderabad,Economy,21.0,31,5589
36445,Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Delhi,Economy,17.0,27,4172
35194,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,13,64285
873,GO_FIRST,G8-551,Hyderabad,Morning,one,Evening,Mumbai,Economy,8.0,49,3700
37299,Indigo,6E-2367,Delhi,Evening,one,Night,Kolkata,Economy,6.17,42,2482
55753,Vistara,UK-838,Chennai,Night,one,Morning,Hyderabad,Business,12.58,7,80544
33579,GO_FIRST,G8-7562,Kolkata,Afternoon,one,Night,Delhi,Economy,7.67,13,13386
15842,Indigo,6E-2338,Delhi,Afternoon,one,Evening,Hyderabad,Economy,6.92,25,5935
45567,Vistara,UK-854,Bangalore,Evening,one,Morning,Kolkata,Business,15.25,29,51817
44414,AirAsia,I5-371,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,9.42,19,3862
18695,Vistara,UK-910,Mumbai,Evening,one,Night,Chennai,Economy,26.67,48,5033
51346,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,13.75,38,53164
1470,Vistara,UK-816,Bangalore,Morning,one,Evening,Hyderabad,Business,8.42,23,56588
36580,Vistara,UK-875,Mumbai,Evening,zero,Night,Hyderabad,Business,1.58,5,17604
53424,Vistara,UK-960,Mumbai,Morning,one,Night,Kolkata,Economy,10.83,37,5949
45341,Vistara,UK-988,Mumbai,Night,one,Night,Chennai,Economy,25.83,47,4249
35011,Air_India,AI-864,Mumbai,Early_Morning,one,Night,Kolkata,Economy,15.33,9,12348
5819,Vistara,UK-838,Chennai,Night,one,Morning,Bangalore,Business,11.58,38,60260
2813,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,10.08,31,8112
42576,AirAsia,I5-764,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.33,43,3090
20964,Vistara,UK-852,Bangalore,Morning,one,Night,Delhi,Business,12.42,24,57081
