,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
33232,Vistara,UK-986,Mumbai,Night,zero,Late_Night,Delhi,Business,2.17,37,22140
48453,Vistara,UK-986,Mumbai,Night,one,Morning,Kolkata,Business,9.58,47,49725
25366,GO_FIRST,G8-789,Kolkata,Morning,one,Night,Mumbai,Economy,12.67,15,7958
7103,Air_India,AI-542,Delhi,Morning,zero,Morning,Hyderabad,Business,2.17,6,23944
4739,Air_India,AI-687,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.25,3,5943
54459,GO_FIRST,G8-7537,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.17,14,4262
35173,Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,Economy,25.92,3,22093
12772,Air_India,AI-541,Hyderabad,Evening,one,Morning,Mumbai,Economy,19.0,5,7774
46589,Air_India,AI-676,Kolkata,Morning,one,Morning,Chennai,Economy,23.25,39,7763
30568,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Economy,7.42,12,10680
53690,Air_India,AI-732,Kolkata,Afternoon,one,Afternoon,Delhi,Economy,25.58,47,4960
9041,Air_India,AI-765,Kolkata,Afternoon,one,Evening,Mumbai,Business,26.42,21,43711
28931,Indigo,6E-457,Bangalore,Early_Morning,two_or_more,Afternoon,Kolkata,Economy,7.75,43,4477
17364,Air_India,AI-732,Kolkata,Afternoon,one,Morning,Bangalore,Business,22.17,38,52287
59082,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.92,5,12499
51989,Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Economy,18.92,29,6864
12664,Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Business,24.75,26,31462
8117,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Kolkata,Economy,35.08,26,6312
30155,Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Delhi,Economy,11.5,23,4294
316,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Bangalore,Business,10.75,43,44144
30703,Indigo,6E-401,Chennai,Late_Night,one,Morning,Kolkata,Economy,5.25,48,4079
5125,GO_FIRST,G8-873,Bangalore,Morning,one,Evening,Delhi,Economy,7.5,23,5696
45646,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Bangalore,Economy,16.92,43,6450
22580,Indigo,6E-5214,Mumbai,Morning,one,Evening,Chennai,Economy,5.08,20,5943
31408,GO_FIRST,G8-511,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,7.67,33,7332
52678,Vistara,UK-850,Bangalore,Evening,zero,Night,Mumbai,Economy,1.92,38,2150
