,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
38422,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,20.33,2,7584
17727,Air_India,AI-698,Hyderabad,Night,one,Morning,Chennai,Business,12.67,11,40843
46388,Vistara,UK-830,Hyderabad,Morning,one,Night,Bangalore,Business,10.08,15,56702
44536,SpiceJet,SG-520,Chennai,Afternoon,one,Evening,Delhi,Economy,26.58,42,6326
11516,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.83,21,6568
5658,Air_India,AI-440,Chennai,Early_Morning,one,Evening,Kolkata,Economy,11.42,18,6937
34692,Vistara,UK-986,Mumbai,Night,one,Afternoon,Hyderabad,Business,13.83,44,45805
51042,AirAsia,I5-547,Kolkata,Evening,zero,Night,Delhi,Economy,2.67,23,3999
32039,Indigo,6E-161,Bangalore,Afternoon,one,Evening,Mumbai,Economy,4.17,8,13736
1424,Vistara,UK-738,Kolkata,Evening,one,Evening,Bangalore,Business,24.08,39,60978
11414,Vistara,UK-659,Hyderabad,Morning,one,Evening,Delhi,Economy,5.5,33,5668
58014,Indigo,6E-6467,Hyderabad,Afternoon,one,Evening,Delhi,Economy,5.0,33,3397
55196,Indigo,6E-331,Mumbai,Evening,zero,Night,Bangalore,Economy,1.75,15,5208
39796,Indigo,6E-2131,Delhi,Night,zero,Late_Night,Bangalore,Economy,2.92,5,7425
34790,Indigo,6E-2474,Kolkata,Early_Morning,zero,Early_Morning,Delhi,Economy,2.5,10,6489
18790,AirAsia,I5-552,Kolkata,Early_Morning,one,Night,Bangalore,Economy,15.92,19,3862
20033,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Chennai,Business,9.83,43,57453
48530,Vistara,UK-897,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,4.75,28,3496
36921,Air_India,AI-660,Mumbai,Evening,one,Night,Bangalore,Business,26.08,34,54608
45662,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Business,14.5,20,42521
38644,SpiceJet,SG-8803,Delhi,Early_Morning,one,Night,Chennai,Economy,14.0,12,7425
25874,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.0,27,6568
