,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
56875,AirAsia,I5-974,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,9.08,40,2250
30731,Air_India,AI-768,Kolkata,Afternoon,one,Early_Morning,Chennai,Business,15.83,36,73377
26775,AirAsia,I5-787,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,8.25,5,11940
27255,GO_FIRST,G8-2606,Mumbai,Evening,one,Early_Morning,Delhi,Economy,11.58,44,5193
57864,Vistara,UK-832,Chennai,Early_Morning,one,Morning,Hyderabad,Business,26.75,42,51457
27012,Vistara,UK-995,Delhi,Morning,one,Evening,Kolkata,Business,6.5,43,65529
47582,Vistara,UK-823,Mumbai,Evening,one,Morning,Delhi,Business,15.92,29,51372
38468,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,9.5,49,4660
7288,Air_India,AI-538,Chennai,Night,one,Evening,Kolkata,Economy,22.83,21,4363
19943,Vistara,UK-870,Hyderabad,Night,one,Evening,Bangalore,Business,20.42,13,56702
16097,AirAsia,I5-1727,Chennai,Afternoon,one,Evening,Kolkata,Economy,5.5,40,2361
55548,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
17074,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Economy,16.08,16,8100
55642,Indigo,6E-605,Chennai,Afternoon,one,Evening,Mumbai,Economy,5.5,41,2792
20944,Air_India,AI-573,Bangalore,Afternoon,one,Night,Delhi,Business,8.08,20,45435
58775,Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Business,25.58,27,38298
22715,Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Business,10.0,40,80566
31097,Indigo,6E-605,Chennai,Afternoon,one,Night,Delhi,Economy,10.08,15,7877
7932,Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,22.67,46,53835
12558,Air_India,AI-687,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.58,43,4173
32522,Indigo,6E-591,Chennai,Morning,zero,Afternoon,Hyderabad,Economy,1.33,14,4202
10524,Air_India,AI-732,Kolkata,Afternoon,one,Night,Delhi,Economy,7.92,49,4960
13063,AirAsia,I5-972,Bangalore,Evening,zero,Evening,Hyderabad,Economy,1.33,38,1714
56070,Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,16.08,32,4672
30244,Indigo,6E-6326,Mumbai,Afternoon,zero,Afternoon,Kolkata,Economy,2.67,20,4893
12512,Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,13.25,40,6271
