,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
41170,GO_FIRST,G8-7545,Mumbai,Afternoon,zero,Afternoon,Bangalore,Economy,1.67,29,2124
12993,Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Business,15.5,27,41281
8167,Vistara,UK-708,Kolkata,Night,one,Morning,Mumbai,Economy,14.75,17,6067
5740,GO_FIRST,G8-304,Chennai,Afternoon,one,Night,Delhi,Economy,8.67,18,4827
37388,Air_India,AI-640,Bangalore,Early_Morning,one,Evening,Delhi,Business,12.58,29,42521
31430,Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,Business,20.92,29,60508
2105,Vistara,UK-838,Chennai,Night,zero,Night,Delhi,Economy,2.83,35,2327
58307,Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Business,22.67,14,58111
22553,Air_India,AI-560,Delhi,Early_Morning,one,Morning,Kolkata,Economy,25.0,45,3610
20033,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Chennai,Business,9.83,43,57453
10987,Vistara,UK-771,Mumbai,Early_Morning,one,Morning,Delhi,Economy,26.58,3,14028
6418,Air_India,AI-809,Mumbai,Morning,one,Evening,Hyderabad,Business,9.33,24,45693
2206,AirAsia,I5-1454,Bangalore,Afternoon,one,Evening,Mumbai,Economy,6.33,18,2203
47961,Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Bangalore,Economy,21.42,26,6195
4102,Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Business,6.58,29,66928
14054,GO_FIRST,G8-146,Bangalore,Evening,two_or_more,Early_Morning,Kolkata,Economy,15.0,23,5177
13764,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Business,6.0,10,79815
30947,Indigo,6E-2028,Delhi,Afternoon,one,Night,Chennai,Economy,8.25,16,6166
11510,Indigo,6E-6809,Mumbai,Evening,one,Night,Hyderabad,Economy,5.67,37,3891
49786,Indigo,6E-954,Delhi,Evening,zero,Night,Chennai,Economy,3.0,17,2343
14515,Indigo,6E-5396,Mumbai,Afternoon,one,Night,Chennai,Economy,7.08,31,1890
20219,Indigo,6E-413,Hyderabad,Early_Morning,one,Afternoon,Kolkata,Economy,7.67,32,3223
33069,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,16,6317
