,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
46078,Vistara,UK-811,Delhi,Early_Morning,one,Night,Hyderabad,Economy,15.0,8,11310
48382,Air_India,AI-537,Delhi,Evening,one,Afternoon,Kolkata,Economy,21.67,43,4700
41943,Air_India,AI-809,Mumbai,Morning,one,Evening,Bangalore,Economy,6.25,14,9779
9358,Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,15.08,17,5892
59709,Vistara,UK-816,Bangalore,Morning,one,Night,Kolkata,Business,9.25,2,98000
2978,AirAsia,I5-784,Delhi,Evening,one,Late_Night,Kolkata,Economy,9.5,30,2480
44168,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Business,7.25,26,53440
22940,Indigo,6E-2247,Delhi,Morning,one,Evening,Bangalore,Economy,7.75,11,9735
39251,Air_India,AI-570,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Economy,1.92,45,1890
56808,Vistara,UK-890,Hyderabad,Evening,one,Morning,Kolkata,Business,15.92,30,58394
52890,Air_India,AI-569,Chennai,Early_Morning,one,Evening,Bangalore,Economy,12.17,47,3584
31193,Vistara,UK-816,Bangalore,Morning,one,Evening,Mumbai,Business,7.58,16,62524
24676,Vistara,UK-944,Mumbai,Afternoon,zero,Evening,Delhi,Business,2.25,20,42412
7399,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,22,7575
3449,Vistara,UK-970,Mumbai,Morning,one,Night,Hyderabad,Economy,14.17,49,3971
42906,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.83,8,54684
56838,Vistara,UK-655,Mumbai,Morning,one,Evening,Delhi,Economy,5.25,19,4970
19649,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Kolkata,Economy,7.08,27,4394
53122,Air_India,AI-9517,Bangalore,Evening,one,Early_Morning,Chennai,Economy,13.17,30,3184
13358,Vistara,UK-772,Kolkata,Morning,one,Evening,Chennai,Business,9.5,6,55502
41750,Indigo,6E-171,Delhi,Late_Night,zero,Late_Night,Mumbai,Economy,2.08,47,2568
13603,SpiceJet,SG-8169,Delhi,Evening,one,Night,Chennai,Economy,25.58,23,4149
49714,Vistara,UK-824,Chennai,Night,one,Morning,Kolkata,Economy,13.17,15,10792
46794,Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Economy,7.33,30,6147
31827,Indigo,6E-822,Kolkata,Morning,one,Evening,Hyderabad,Economy,6.25,43,3401
33611,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,28,7575
22096,Air_India,AI-573,Bangalore,Afternoon,one,Night,Delhi,Business,8.08,9,45435
23340,Indigo,6E-6113,Chennai,Afternoon,one,Night,Mumbai,Economy,7.08,42,2792
12551,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.25,15,49725
5353,Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,13.08,38,5358
50803,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Bangalore,Economy,12.25,22,4755
59267,AirAsia,I5-338,Mumbai,Night,one,Late_Night,Delhi,Economy,7.17,45,2336
39692,Indigo,6E-913,Hyderabad,Morning,one,Night,Delhi,Economy,11.0,22,6133
33349,Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,6,15720
6000,SpiceJet,SG-679,Kolkata,Afternoon,one,Afternoon,Mumbai,Economy,23.5,23,9284
43068,Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,23.5,32,52175
49149,Vistara,UK-826,Chennai,Afternoon,one,Early_Morning,Bangalore,Business,19.33,25,44144
32030,Indigo,6E-484,Bangalore,Early_Morning,one,Afternoon,Kolkata,Economy,6.17,12,9588
14799,Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,Economy,14.33,38,5441
