,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
20001,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Bangalore,Business,17.08,46,54608
39162,Vistara,UK-834,Chennai,Evening,one,Morning,Hyderabad,Economy,16.0,47,3810
3501,Vistara,UK-996,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.33,47,4099
23290,Vistara,UK-812,Bangalore,Morning,one,Evening,Hyderabad,Economy,7.25,37,6262
1607,Vistara,UK-940,Mumbai,Evening,one,Evening,Kolkata,Business,22.33,10,90941
14100,Indigo,6E-2511,Hyderabad,Morning,zero,Afternoon,Delhi,Economy,2.42,48,3191
22426,Vistara,UK-708,Kolkata,Night,one,Night,Hyderabad,Business,26.5,10,52175
51540,Indigo,6E-136,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,5.5,19,5103
4851,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Bangalore,Economy,17.25,11,9201
10895,GO_FIRST,G8-287,Mumbai,Morning,one,Evening,Delhi,Economy,6.92,18,5942
46486,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,Business,17.83,27,52175
56518,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Economy,33.83,37,17222
9564,GO_FIRST,G8-336,Delhi,Afternoon,one,Night,Bangalore,Economy,8.42,24,4020
34329,Air_India,AI-767,Delhi,Afternoon,one,Night,Hyderabad,Business,9.08,30,47408
17186,Air_India,AI-809,Mumbai,Morning,one,Evening,Chennai,Economy,9.0,24,5152
49448,Vistara,UK-838,Chennai,Night,one,Morning,Bangalore,Economy,14.75,2,17853
15008,Air_India,AI-770,Kolkata,Night,one,Morning,Bangalore,Economy,12.42,26,6633
2237,Air_India,AI-415,Delhi,Evening,one,Evening,Bangalore,Business,26.42,35,45371
30622,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Business,2.25,31,34472
59272,Vistara,UK-613,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Business,7.33,29,66671
44578,Indigo,6E-932,Mumbai,Morning,one,Evening,Hyderabad,Economy,8.67,35,12726
4707,Vistara,UK-858,Bangalore,Early_Morning,one,Night,Delhi,Business,14.0,6,57081
45623,GO_FIRST,G8-790,Bangalore,Afternoon,one,Night,Hyderabad,Economy,8.17,24,5255
37294,AirAsia,I5-1517,Hyderabad,Evening,one,Night,Bangalore,Economy,7.67,16,12033
37175,GO_FIRST,G8-334,Delhi,Early_Morning,one,Night,Kolkata,Economy,15.58,31,6395
28317,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,9,16455
39180,Air_India,AI-607,Mumbai,Evening,zero,Evening,Bangalore,Economy,1.75,36,2132
37819,Indigo,6E-126,Chennai,Evening,zero,Evening,Mumbai,Economy,1.92,34,3572
22994,Air_India,AI-610,Bangalore,Evening,one,Early_Morning,Chennai,Business,12.08,47,43865
53040,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Business,9.92,49,57920
16389,Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Economy,11.42,5,12524
3599,Vistara,UK-910,Mumbai,Evening,one,Morning,Bangalore,Business,15.08,14,88292
42605,Indigo,6E-2615,Delhi,Morning,one,Evening,Kolkata,Economy,5.5,16,5955
25943,Indigo,6E-6187,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.0,48,3457
35387,Air_India,AI-767,Delhi,Afternoon,zero,Afternoon,Kolkata,Business,2.33,46,27976
21418,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Hyderabad,Business,10.0,26,81585
59770,GO_FIRST,G8-339,Mumbai,Evening,zero,Night,Delhi,Economy,2.17,24,2339
